ir;vou
papaguear;papagueio
solfejar;solfejo
torpedear;torpedeio
acaber;acabo
acochar;acocho
afunilar;afunilo
aligeirar;aligeiro
amiudar;amiúdo
aromar;aromo
betar;beto
colimar;colimo
defumar;defumo
desalinhar;desalinho
encilhar;encilho
enrodilhar;enrodilho
esfumaçar;esfumaço
flautar;flauto
futricar;futrico
gorgolejar;gorgolejo
guindar;guindo
pagodear;pagodeio
parcelar;parcelo
pavonear;pavoneio
seviciar;sevicio
tratear;trateio
apossar;aposso
atarefar;atarefo
cachimbar;cachimbo
colear;coleio
crestar;cresto
desapaixonar;desapaixono
desnaturalizar;desnaturalizo
embelecer;embeleço
empoar;empoo
enrustir;enrusto
escafeder;escafedo
florar;floro
focinhar;focinho
gabaritar;gabarito
necrosar;necroso
paramentar;paramento
prodigalizar;prodigalizo
sublevar;sublevo
tunar;tuno
universalizar;universalizo
apalavrar;apalavro
apupar;apupo
atrapar;atrapo
auditar;audito
bolsar;bolso
chamuscar;chamusco
embaciar;embacio
embirar;embiro
enodoar;enodoo
entesourar;entesouro
obsecrar;obsecro
peruar;peruo
preordenar;preordeno
propulsionar;propulsiono
reocupar;reocupo
ressabiar;ressabio
transumar;transumo
vidar;vido
abandar;abando
acrisolar;acrisolo
agrilhoar;agrilhoo
antar;anto
asilar;asilo
desemparar;desemparo
desencostar;desencosto
esporar;esporo
expatriar;expatrio
gafar;gafo
gradear;gradeio
incrustar;incrusto
inumar;inumo
laquear;laqueio
mamparrear;mamparreio
marar;maro
mungir;munjo
musicar;musico
parolar;parolo
reganhar;reganho
regougar;regougo
sulcar;sulco
superabundar;superabundo
superlotar;superloto
transliterar;translitero
abiscoitar;abiscoito
achamboar;achamboo
altercar;alterco
aquebrantar;aquebranto
auspiciar;auspicio
bifurcar;bifurco
bumbar;bumbo
chacotear;chacoteio
coitar;coito
crocitar;crocito
desacertar;desacerto
desanuviar;desanuvio
desemaranhar;desemaranho
desengatar;desengato
desesperançar;desesperanço
eduzir;eduzo
embasbacar;embasbaco
encasquetar;encasqueto
fumigar;fumigo
maridar;marido
premunir;premuno
protagonizar;protagonizo
remessar;remesso
repontar;reponto
ripar;ripo
solevar;solevo
tonificar;tonifico
truncar;trunco
abobar;abobo
abocar;aboco
activar;activo
alumbrar;alumbro
amigar;amigo
apodar;apodo
cachar;cacho
coleccionar;colecciono
comburir;comburo
contornear;contorneio
descarar;descaro
destapar;destapo
ensamblar;ensamblo
esgravatar;esgravato
festar;festo
frenar;freno
infelicitar;infelicito
lajear;lajeio
marombar;marombo
medicamentar;medicamento
perorar;peroro
recambiar;recambio
ulcerar;ulcero
abendiçoar;abendiçoo
absterger;absterjo
acavalar;acavalo
acotovelar;acotovelo
alapar;alapo
anarquizar;anarquizo
atabalhoar;atabalhoo
avassalar;avassalo
boquejar;boquejo
circuitar;circuito
climatizar;climatizo
deputar;deputo
desarranjar;desarranjo
dissidiar;dissidio
encampar;encampo
engabelar;engabelo
engambelar;engambelo
enlamear;enlameio
entrevar;entrevo
esbagaçar;esbagaço
everter;everto
fidelizar;fidelizo
flanquear;flanqueio
gessar;gesso
ilibar;ilibo
imigrar;imigro
infecionar;infeciono
maniatar;maniato
palear;paleio
papagaiar;papagaio
prefixar;prefixo
rastear;rasteio
reedificar;reedifico
sapear;sapeio
substantivar;substantivo
vaporizar;vaporizo
aspear;aspeio
atroar;atroo
bostar;bosto
carear;careio
celebrizar;celebrizo
compactuar;compactuo
corrugar;corrugo
desagravar;desagravo
descordar;descordo
empapar;empapo
empoçar;empoço
estandardizar;estandardizo
estiolar;estiolo
estontear;estonteio
estrompar;estrompo
estrondear;estrondeio
flautear;flauteio
gazetear;gazeteio
intervalar;intervalo
litigiar;litigio
manietar;manieto
metrificar;metrifico
minuciar;minucio
obdurar;obduro
pespegar;pespego
reptar;repto
retrasar;retraso
sarrar;sarro
tisnar;tisno
trepidar;trepido
adereçar;adereço
aninar;anino
bacharelar;bacharelo
bifar;bifo
capengar;capengo
carpar;carpo
chantar;chanto
depenicar;depenico
desenferrujar;desenferrujo
despoluir;despoluo
desquitar;desquito
destecer;desteço
dorir;doro
emascular;emasculo
enlutar;enluto
espigar;espigo
estanciar;estancio
exfoliar;exfolio
honestar;honesto
lampejar;lampejo
manquejar;manquejo
negrejar;negrejo
papocar;papoco
peguntar;pegunto
poitar;poito
preestabelecer;preestabeleço
prelibar;prelibo
rascar;rasco
refundir;refundo
repintar;repinto
retrotrair;retrotraio
roxear;roxeio
solenizar;solenizo
soutar;souto
substanciar;substancio
tamponar;tampono
assalariar;assalario
assoberbar;assoberbo
atilar;atilo
azafamar;azafamo
benquerer;benquero
calibrar;calibro
cambar;cambo
cartear;carteio
dardejar;dardejo
desamamentar;desamamento
desavinhar;desavinho
desencavar;desencavo
desincumbir;desincumbo
embatucar;embatuco
embromar;embromo
encafuar;encafuo
encrespar;encrespo
esgaravatar;esgaravato
estocar;estoco
fraquear;fraqueio
garfar;garfo
jugular;jugulo
letificar;letifico
lorotar;loroto
minerar;minero
namoricar;namorico
patetar;pateto
rivalizar;rivalizo
sindicalizar;sindicalizo
acidar;acido
adolescer;adolesço
agulhar;agulho
alcovitar;alcovito
amolgar;amolgo
arruar;arruo
atulhar;atulho
briquitar;briquito
congestionar;congestiono
desajudar;desajudo
desarvorar;desarvoro
desguarnecer;desguarneço
esbugalhar;esbugalho
malbaratar;malbarato
mordicar;mordico
pocar;poco
tufar;tufo
vaziar;vazio
amarfanhar;amarfanho
arborizar;arborizo
clausurar;clausuro
cortinar;cortino
desalentar;desalento
doidejar;doidejo
drapejar;drapejo
enfurnar;enfurno
escarnar;escarno
especar;especo
esplandecer;esplandeço
grelhar;grelho
lancinar;lancino
palavrear;palavreio
peculiarizar;peculiarizo
provisionar;provisiono
recrescer;recresço
remanchar;remancho
abaetar;abaeto
amaçar;amaço
amurar;amuro
arreganhar;arreganho
desnutrir;desnutro
